Country,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Australia,7.978497,8.118476,8.27167,9.531002,9.454679,9.686194,9.577335
Austria,9.978759,10.2806,10.66429,10.76076,10.21896,9.497949,10.34887
Belgium,15.29007,14.9505,16.85483,17.27168,17.00682,17.29423,17.86535
Canada,9.766666,10.56667,10.63333,11.5,11.86667,13.06667,13.9
Chile,21.06435,20.0941,22.01593,22.50013,21.3927,19.91264,21.32021
Colombia,20.40647,19.8716,19.13918,21.31224,20.88328,20.36987,19.82625
Costa Rica,28.0279,26.49366,22.27644,22.58808,21.03195,22.54588,22.09481
Czechia,8.415796,9.720992,7.93132,6.953426,7.347454,8.816331,10.60848
Denmark,10.45825,11.05618,11.16916,13.26383,13.99296,14.62365,14.41516
Estonia,12.30145,16.00496,20.47923,19.88183,15.20588,23.73877,20.48725
Finland,13.97357,16.20383,17.08909,17.37231,18.521,18.33089,18.49112
France,16.61684,17.04874,17.4236,17.71752,18.1221,17.99117,19.68397
Germany,5.846219,5.896892,5.650447,6.279601,6.10311,6.745038,6.771963
Greece,26.18543,26.67229,26.24053,27.70502,25.40912,24.7692,17.38286
Hungary,10.51979,13.82258,12.05581,14.81631,15.74125,12.89714,17.20921
Iceland,8.951389,7.515143,9.961537,9.026377,8.66105,9.342996,9.182525
Ireland,10.34596,10.84301,10.92697,10.49882,10.42332,10.74709,10.20979
Israel,6.665911,5.716212,5.734431,5.823436,5.701429,4.756674,4.102946
Italy,22.13827,22.95055,23.2593,22.56732,21.15197,20.58179,19.90611
Japan,4.533333,4.033333,3.766667,3.9,4.033333,4.1,4.133333
Korea,6.17183,5.176074,5.719904,5.969953,6.439026,6.697247,5.787757
Latvia,13.31126,9.852836,12.41615,13.40553,12.10195,17.37291,13.0284
Lithuania,15.2646,15.00661,15.1587,18.91549,14.31106,16.58164,19.96215
Luxembourg,17.3874,16.24322,16.34726,25.2794,17.68531,26.8766,24.66108
Mexico,6.002263,5.756224,5.90526,6.026435,5.682646,5.923821,6.051664
Netherlands,7.984123,8.325096,8.462631,8.224781,8.583225,8.612234,8.741324
New Zealand,9.697684,10.05592,11.66424,11.80267,14.17561,13.82831,13.75729
Norway,11.91686,9.548728,11.02129,11.53007,11.6687,12.42032,11.53217
Poland,11.03954,11.75412,10.92684,11.70186,11.34376,10.06012,11.26429
Portugal,19.02116,18.58104,21.16311,23.31439,22.66365,22.97268,19.99352
Slovak Republic,18.81354,19.03827,20.81511,20.51985,20.20224,20.97075,18.05103
Slovenia,7.380107,10.37137,11.6551,10.10602,9.202781,9.835297,15.18189
Spain,29.25758,28.17761,28.40971,28.82409,27.13836,26.74456,26.92849
Sweden,21.4306,22.07684,21.42616,23.38792,24.26458,23.56863,25.13893
Switzerland,7.245396,7.481441,8.711292,8.011213,7.694927,7.343975,8.972987
Türkiye,19.47921,17.86909,16.70496,15.84182,16.00922,16.64643,16.98105
United Kingdom,11.71662,12.28389,12.05019,11.88795,13.21866,13.40639,14.76881
United States,7.9,7.2,8.366667,8.266666,8.3,8.833333,9.333333
Euro area (20 countries),14.4298,14.27983,14.49196,14.85594,14.61113,14.59756,14.81836
European Union (27 countries from 01/02/2020),14.30981,14.47423,14.5024,14.97597,14.83738,14.87437,15.19962
OECD,10.63625,10.36085,10.60781,10.8259,10.83693,11.08048,11.45508