Data values,Data description,Year,Area,Notes
2230,Active enterprises,2024,Isle of Anglesey,
4445,Active enterprises,2024,Gwynedd,
4190,Active enterprises,2024,Conwy,
3285,Active enterprises,2024,Denbighshire,
5360,Active enterprises,2024,Flintshire,
3990,Active enterprises,2024,Wrexham,
5830,Active enterprises,2024,Powys,
2900,Active enterprises,2024,Ceredigion,
4835,Active enterprises,2024,Pembrokeshire,
6315,Active enterprises,2024,Carmarthenshire,
7325,Active enterprises,2024,Swansea,
3220,Active enterprises,2024,Neath Port Talbot,
4045,Active enterprises,2024,Bridgend,
4715,Active enterprises,2024,Vale of Glamorgan,
13010,Active enterprises,2024,Cardiff,
6080,Active enterprises,2024,Rhondda Cynon Taf,
1360,Active enterprises,2024,Merthyr Tydfil,
4385,Active enterprises,2024,Caerphilly,
1435,Active enterprises,2024,Blaenau Gwent,
2760,Active enterprises,2024,Torfaen,
4080,Active enterprises,2024,Monmouthshire,
4625,Active enterprises,2024,Newport,